IDCliente,AbandonoEmpresa,Genero,CiudadanoTerceraEdad,Soltero-a,Dependientes,MesesAntiguedad,ServicioTelefonico,SuscripcionLineasMultiples,SuscripcionServicioInternet,SuscripcionSeguridadEnLinea,SuscripcionCopiaDeSeguridadEnLinea,SuscripcionProteccionDispositivo,SuscripcionSoporteTecnico,ServicioEnLineaTransmisionTV,internet.StreamingMovies,Contrato,FacturaElectronica,MetodoPago,CargosMensuales,CargosTotales,Cuentas_Diarias,Rango_MesesAntiguedad,CargosMensuales_por_MesesAntiguedad
0017-DINOC,0,Masculino,0,0,0,54,0,0,DSL,1,0,0,1,1,0,Dos años,0,Tarjeta de credito (automatica),45.2,2460.55,1.5066666666666668,51-60,2440.8
0017-IUDMW,0,Femenino,0,1,1,72,1,1,Fibra optica,1,1,1,1,1,1,Dos años,1,Tarjeta de credito (automatica),116.8,8456.75,3.893333333333333,71-80,8409.6
0018-NYROU,0,Femenino,0,1,0,5,1,0,Fibra optica,0,0,0,0,0,0,Mensual,1,Cheque electronico,68.95,351.5,2.2983333333333333,0-10,344.75
0019-EFAEP,0,Femenino,0,0,0,72,1,1,Fibra optica,1,1,1,0,1,0,Dos años,1,Transferencia bancaria (automatica),101.3,7261.25,3.3766666666666665,71-80,7293.599999999999
0019-GFNTW,0,Femenino,0,0,0,56,0,0,DSL,1,1,1,1,0,0,Dos años,0,Transferencia bancaria (automatica),45.05,2560.1,1.5016666666666665,51-60,2522.7999999999997
0020-INWCK,0,Femenino,0,1,1,71,1,1,Fibra optica,0,1,1,0,0,1,Dos años,1,Tarjeta de credito (automatica),95.75,6849.4,3.191666666666667,71-80,6798.25
0020-JDNXP,0,Femenino,0,1,1,34,0,0,DSL,1,0,1,1,1,1,Anual,0,Cheque por correo,61.25,1993.2,2.0416666666666665,31-40,2082.5
0021-IKXGC,0,Femenino,1,0,0,1,1,1,Fibra optica,0,0,0,0,0,0,Mensual,1,Cheque electronico,72.1,72.1,2.4033333333333333,0-10,72.1
0022-TCJCI,1,Masculino,1,0,0,45,1,0,DSL,1,0,1,0,0,1,Anual,0,Tarjeta de credito (automatica),62.7,2791.5,2.0900000000000003,41-50,2821.5
0023-HGHWL,1,Masculino,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque electronico,25.1,25.1,0.8366666666666667,0-10,25.1
0023-UYUPN,0,Femenino,1,1,0,50,1,1,No,0,0,0,0,0,0,Anual,0,Cheque electronico,25.2,1306.3,0.84,51-60,1260.0
0023-XUOPT,1,Femenino,0,1,0,13,1,1,Fibra optica,0,1,1,0,1,0,Mensual,0,Cheque electronico,94.1,1215.6,3.1366666666666663,11-20,1223.3
0027-KWYKW,0,Femenino,0,1,1,23,1,1,Fibra optica,0,0,0,0,1,0,Mensual,1,Cheque electronico,83.75,1849.95,2.7916666666666665,21-30,1926.25
0030-FNXPP,0,Femenino,0,0,0,3,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque por correo,19.85,57.2,0.6616666666666667,0-10,59.550000000000004
0031-PVLZI,1,Femenino,0,1,1,4,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque por correo,20.35,76.35,0.6783333333333333,0-10,81.4
0032-PGELS,1,Femenino,0,1,1,1,0,0,DSL,1,0,0,0,0,0,Mensual,0,Transferencia bancaria (automatica),30.5,30.5,1.0166666666666666,0-10,30.5
0036-IHMOT,0,Femenino,0,1,1,55,1,0,Fibra optica,0,1,1,1,1,1,Anual,1,Transferencia bancaria (automatica),103.7,5656.75,3.4566666666666666,51-60,5703.5
0040-HALCW,0,Masculino,0,1,1,54,1,0,No,0,0,0,0,0,0,Dos años,0,Tarjeta de credito (automatica),20.4,1090.6,0.6799999999999999,51-60,1101.6
0042-JVWOJ,0,Masculino,0,0,0,26,1,0,No,0,0,0,0,0,0,Anual,1,Transferencia bancaria (automatica),19.6,471.85,0.6533333333333334,21-30,509.6
0042-RLHYP,0,Femenino,0,1,1,69,1,0,No,0,0,0,0,0,0,Dos años,0,Transferencia bancaria (automatica),19.7,1396.9,0.6566666666666666,61-70,1359.3
0048-LUMLS,0,Masculino,0,1,1,37,1,0,Fibra optica,0,0,0,0,1,1,Anual,0,Tarjeta de credito (automatica),91.2,3247.55,3.04,31-40,3374.4
0048-PIHNL,0,Femenino,0,1,0,49,1,0,No,0,0,0,0,0,0,Anual,0,Transferencia bancaria (automatica),20.45,900.9,0.6816666666666666,41-50,1002.05
0052-DCKON,0,Masculino,0,1,0,66,1,1,Fibra optica,1,1,1,1,1,1,Anual,0,Transferencia bancaria (automatica),115.8,7942.15,3.86,61-70,7642.8
0052-YNYOT,0,Femenino,0,0,0,67,1,0,No,0,0,0,0,0,0,Anual,0,Cheque electronico,20.55,1343.4,0.685,61-70,1376.8500000000001
0056-EPFBG,0,Masculino,0,1,1,20,0,0,DSL,1,0,1,1,0,0,Dos años,1,Tarjeta de credito (automatica),39.4,825.4,1.3133333333333332,21-30,788.0
0057-QBUQH,0,Femenino,0,0,1,43,1,1,No,0,0,0,0,0,0,Dos años,1,Cheque electronico,25.1,1070.15,0.8366666666666667,41-50,1079.3
0058-EVZWM,0,Femenino,0,1,0,55,1,1,Fibra optica,1,0,0,0,1,0,Mensual,1,Transferencia bancaria (automatica),89.8,4959.6,2.993333333333333,51-60,4939.0
0060-FUALY,0,Femenino,0,1,0,59,1,1,Fibra optica,1,1,0,0,1,0,Mensual,1,Cheque electronico,94.75,5597.65,3.158333333333333,51-60,5590.25
0064-SUDOG,0,Femenino,0,1,1,12,1,0,No,0,0,0,0,0,0,Dos años,0,Transferencia bancaria (automatica),20.3,224.5,0.6766666666666666,11-20,243.60000000000002
0064-YIJGF,0,Masculino,0,1,1,27,1,1,Fibra optica,0,0,0,0,0,0,Mensual,1,Transferencia bancaria (automatica),75.75,1929.0,2.525,21-30,2045.25
0067-DKWBL,1,Masculino,1,0,0,2,1,0,DSL,1,0,0,0,0,0,Mensual,1,Cheque electronico,49.25,91.1,1.6416666666666666,0-10,98.5
0068-FIGTF,0,Femenino,0,0,0,27,1,0,DSL,0,1,1,1,1,1,Anual,0,Cheque por correo,78.2,2078.95,2.606666666666667,21-30,2111.4
0071-NDAFP,0,Masculino,0,1,1,25,1,1,No,0,0,0,0,0,0,Dos años,0,Tarjeta de credito (automatica),25.5,630.6,0.85,21-30,637.5
0074-HDKDG,0,Masculino,0,1,1,25,1,0,DSL,1,1,1,0,0,0,Anual,1,Transferencia bancaria (automatica),61.6,1611.0,2.0533333333333332,21-30,1540.0
0076-LVEPS,0,Masculino,0,0,1,29,0,0,DSL,1,1,1,1,0,0,Mensual,1,Cheque por correo,45.0,1242.45,1.5,21-30,1305.0
0078-XZMHT,0,Masculino,0,1,0,72,1,1,DSL,0,1,1,1,1,1,Dos años,1,Transferencia bancaria (automatica),85.15,6316.2,2.8383333333333334,71-80,6130.8
0080-EMYVY,0,Femenino,0,0,0,14,1,0,DSL,0,1,0,0,0,0,Anual,0,Tarjeta de credito (automatica),51.45,727.85,1.715,11-20,720.3000000000001
0080-OROZO,0,Femenino,0,0,0,35,1,0,Fibra optica,0,0,1,1,1,1,Anual,1,Cheque electronico,99.25,3532.0,3.308333333333333,31-40,3473.75
0082-LDZUE,0,Masculino,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque por correo,44.3,44.3,1.4766666666666666,0-10,44.3
0082-OQIQY,0,Masculino,0,0,0,29,1,0,Fibra optica,0,0,0,1,1,1,Mensual,1,Cheque electronico,94.2,2607.6,3.14,21-30,2731.8
0083-PIVIK,0,Masculino,0,0,0,64,1,1,DSL,1,1,1,1,1,0,Anual,0,Cheque electronico,81.25,5567.55,2.7083333333333335,61-70,5200.0
0089-IIQKO,0,Femenino,0,1,1,39,1,1,Fibra optica,0,0,0,1,1,1,Mensual,1,Tarjeta de credito (automatica),99.95,3767.4,3.3316666666666666,31-40,3898.05
0093-EXYQL,0,Femenino,1,0,0,40,1,0,Fibra optica,0,0,0,0,1,1,Mensual,1,Cheque electronico,91.55,3673.6,3.0516666666666667,41-50,3662.0
0093-XWZFY,1,Masculino,0,0,0,40,1,1,Fibra optica,0,1,1,0,1,1,Mensual,1,Tarjeta de credito (automatica),104.5,4036.85,3.4833333333333334,41-50,4180.0
0094-OIFMO,1,Femenino,1,0,0,11,1,0,Fibra optica,0,1,0,0,1,1,Mensual,1,Cheque electronico,95.0,1120.3,3.1666666666666665,11-20,1045.0
0096-BXERS,0,Femenino,0,1,0,6,1,1,DSL,0,0,0,0,0,0,Mensual,0,Cheque electronico,50.35,314.55,1.6783333333333335,0-10,302.1
0096-FCPUF,0,Masculino,0,0,0,30,1,1,DSL,1,0,0,0,0,1,Mensual,1,Cheque por correo,64.5,1888.45,2.15,31-40,1935.0
0098-BOWSO,0,Masculino,0,0,0,27,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque electronico,19.4,529.8,0.6466666666666666,21-30,523.8
0100-DUVFC,0,Masculino,1,1,0,70,1,1,Fibra optica,0,1,1,0,1,1,Anual,1,Cheque electronico,104.8,7308.95,3.493333333333333,71-80,7336.0
0103-CSITQ,0,Femenino,0,1,0,57,1,1,Fibra optica,0,1,1,1,1,1,Anual,1,Transferencia bancaria (automatica),109.4,6252.7,3.646666666666667,51-60,6235.8
0104-PPXDV,0,Masculino,0,1,0,58,1,0,DSL,0,0,1,0,0,0,Anual,0,Tarjeta de credito (automatica),50.3,2878.55,1.6766666666666665,51-60,2917.3999999999996
0106-GHRQR,0,Masculino,0,0,0,16,1,1,DSL,0,1,1,0,0,1,Mensual,1,Transferencia bancaria (automatica),71.4,1212.1,2.3800000000000003,11-20,1142.4
0106-UGRDO,0,Femenino,0,1,0,69,1,1,Fibra optica,1,1,1,1,1,1,Dos años,1,Cheque electronico,116.0,8182.85,3.8666666666666667,61-70,8004.0
0107-WESLM,1,Masculino,0,0,0,1,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque electronico,19.85,19.85,0.6616666666666667,0-10,19.85
0107-YHINA,1,Masculino,0,0,1,1,1,1,Fibra optica,0,0,1,0,1,1,Mensual,1,Cheque electronico,99.75,99.75,3.325,0-10,99.75
0111-KLBQG,0,Masculino,1,1,1,32,1,0,Fibra optica,0,1,0,0,1,1,Mensual,1,Cheque por correo,93.95,2861.45,3.131666666666667,31-40,3006.4
0112-QAWRZ,0,Masculino,0,1,1,16,1,1,Fibra optica,0,0,1,0,1,0,Mensual,1,Transferencia bancaria (automatica),90.8,1442.2,3.0266666666666664,11-20,1452.8
0112-QWPNC,1,Masculino,0,1,0,49,1,1,DSL,1,0,1,1,1,1,Anual,0,Cheque electronico,84.35,4059.35,2.8116666666666665,41-50,4133.15
0114-IGABW,0,Femenino,0,1,0,71,0,0,DSL,0,1,1,1,1,1,Dos años,0,Transferencia bancaria (automatica),58.25,4145.9,1.9416666666666667,71-80,4135.75
0114-PEGZZ,0,Femenino,0,0,0,33,1,1,Fibra optica,0,1,1,0,1,1,Mensual,0,Cheque electronico,107.55,3645.5,3.585,31-40,3549.15
0114-RSRRW,0,Femenino,0,1,0,10,1,0,No,0,0,0,0,0,0,Mensual,1,Transferencia bancaria (automatica),19.95,187.75,0.6649999999999999,11-20,199.5
0115-TFERT,1,Masculino,0,1,0,21,1,1,Fibra optica,0,1,1,1,1,1,Mensual,1,Cheque electronico,111.2,2317.1,3.7066666666666666,21-30,2335.2000000000003
0117-LFRMW,1,Masculino,0,1,1,37,0,0,DSL,1,1,1,0,0,0,Mensual,0,Transferencia bancaria (automatica),40.2,1448.8,1.34,31-40,1487.4
0118-JPNOY,0,Femenino,1,0,0,26,1,0,Fibra optica,1,0,0,0,1,0,Mensual,1,Tarjeta de credito (automatica),85.8,2193.65,2.86,21-30,2230.7999999999997
0121-SNYRK,0,Masculino,0,0,0,50,0,0,DSL,1,0,0,1,0,0,Anual,1,Cheque por correo,35.4,1748.9,1.18,51-60,1770.0
0122-OAHPZ,1,Femenino,0,0,0,7,1,1,Fibra optica,0,0,0,0,0,0,Mensual,1,Cheque electronico,73.85,511.25,2.4616666666666664,0-10,516.9499999999999
0123-CRBRT,0,Femenino,0,1,1,61,1,1,DSL,1,1,1,1,1,1,Dos años,0,Cheque por correo,88.1,5526.75,2.9366666666666665,61-70,5374.099999999999
0125-LZQXK,1,Masculino,0,0,0,15,1,0,Fibra optica,0,0,1,1,1,1,Mensual,1,Cheque electronico,101.35,1553.95,3.378333333333333,11-20,1520.25
0128-MKWSG,0,Femenino,0,0,1,26,0,0,DSL,1,0,0,1,0,1,Mensual,0,Cheque por correo,45.8,1147.0,1.5266666666666666,21-30,1190.8
0129-KPTWJ,0,Masculino,0,1,0,72,1,0,Fibra optica,0,0,1,0,1,1,Mensual,1,Cheque electronico,94.65,6747.35,3.1550000000000002,71-80,6814.8
0129-QMPDR,0,Masculino,0,1,1,44,1,0,No,0,0,0,0,0,0,Anual,1,Transferencia bancaria (automatica),20.5,865.05,0.6833333333333333,41-50,902.0
0130-SXOUN,0,Masculino,0,0,0,66,1,1,Fibra optica,0,1,0,0,0,1,Mensual,0,Tarjeta de credito (automatica),89.4,5976.9,2.98,61-70,5900.400000000001
0133-BMFZO,1,Femenino,0,0,0,2,1,0,Fibra optica,1,1,0,1,0,0,Mensual,1,Cheque electronico,86.25,181.65,2.875,0-10,172.5
0134-XWXCE,0,Femenino,1,0,0,44,1,0,DSL,0,0,1,1,1,1,Anual,0,Transferencia bancaria (automatica),74.85,3268.05,2.4949999999999997,41-50,3293.3999999999996
0135-NMXAP,1,Femenino,0,0,0,12,1,1,Fibra optica,0,1,0,0,1,0,Mensual,1,Transferencia bancaria (automatica),89.75,1052.4,2.9916666666666667,11-20,1077.0
0136-IFMYD,0,Masculino,1,1,0,69,1,1,Fibra optica,0,1,1,1,1,1,Dos años,1,Cheque electronico,109.95,7634.25,3.665,61-70,7586.55
0137-OCGAB,1,Femenino,0,0,0,1,1,1,Fibra optica,0,1,0,0,0,0,Mensual,1,Cheque por correo,80.2,80.2,2.6733333333333333,0-10,80.2
0137-UDEUO,1,Femenino,0,0,0,3,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque por correo,19.85,63.75,0.6616666666666667,0-10,59.550000000000004
0139-IVFJG,0,Femenino,0,1,0,2,1,0,Fibra optica,1,1,0,0,1,0,Mensual,0,Cheque electronico,90.35,190.5,3.0116666666666663,0-10,180.7
0141-YEAYS,0,Femenino,1,0,0,27,1,1,Fibra optica,0,1,1,0,0,0,Mensual,1,Transferencia bancaria (automatica),86.45,2401.05,2.881666666666667,21-30,2334.15
0142-GVYSN,0,Masculino,0,0,0,26,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque electronico,20.3,511.25,0.6766666666666666,21-30,527.8000000000001
0147-ESWWR,0,Femenino,1,1,0,39,1,1,Fibra optica,0,0,0,1,1,1,Mensual,1,Cheque electronico,101.25,3949.15,3.375,31-40,3948.75
0148-DCDOS,1,Masculino,0,0,0,25,1,1,Fibra optica,0,0,0,0,1,1,Mensual,1,Transferencia bancaria (automatica),94.7,2362.1,3.1566666666666667,21-30,2367.5
0151-ONTOV,1,Femenino,0,0,0,1,1,0,Fibra optica,0,0,0,0,0,0,Mensual,0,Cheque por correo,70.9,70.9,2.3633333333333337,0-10,70.9
0156-FVPTA,1,Masculino,0,1,0,22,1,0,DSL,1,0,0,1,0,0,Mensual,1,Cheque electronico,54.2,1152.7,1.8066666666666669,21-30,1192.4
0164-APGRB,0,Femenino,0,0,0,72,1,1,Fibra optica,1,1,1,1,1,1,Dos años,1,Cheque electronico,114.9,8496.7,3.83,71-80,8272.800000000001
0164-XAIRP,0,Femenino,0,0,0,24,1,0,No,0,0,0,0,0,0,Dos años,1,Transferencia bancaria (automatica),19.55,470.2,0.6516666666666667,21-30,469.20000000000005
0168-XZKBB,0,Femenino,0,1,0,19,1,1,Fibra optica,0,0,0,0,1,0,Mensual,1,Cheque electronico,86.85,1564.4,2.895,11-20,1650.1499999999999
0174-QRVVY,0,Masculino,0,1,1,71,1,1,No,0,0,0,0,0,0,Dos años,0,Tarjeta de credito (automatica),25.35,1847.55,0.8450000000000001,71-80,1799.8500000000001
0177-PXBAT,0,Masculino,1,1,0,33,1,1,Fibra optica,1,0,1,1,1,1,Mensual,1,Transferencia bancaria (automatica),109.9,3694.7,3.6633333333333336,31-40,3626.7000000000003
0178-CIIKR,0,Femenino,0,0,0,3,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque por correo,19.95,58.0,0.6649999999999999,0-10,59.849999999999994
0178-SZBHO,0,Masculino,0,1,1,47,1,1,Fibra optica,0,1,0,0,1,0,Mensual,0,Cheque electronico,87.2,4017.45,2.9066666666666667,41-50,4098.400000000001
0181-RITDD,0,Masculino,0,1,1,62,1,0,Fibra optica,1,1,1,1,1,1,Dos años,0,Cheque por correo,108.15,6825.65,3.605,61-70,6705.3
0186-CAERR,0,Masculino,0,0,0,71,1,1,Fibra optica,1,1,1,1,1,1,Anual,1,Transferencia bancaria (automatica),116.3,8309.55,3.8766666666666665,71-80,8257.3
0187-QSXOE,0,Masculino,1,1,0,7,1,0,Fibra optica,0,0,0,0,1,1,Mensual,1,Cheque electronico,89.0,605.45,2.966666666666667,0-10,623.0
0187-WZNAB,0,Femenino,0,1,1,27,1,0,Fibra optica,1,0,0,0,0,0,Mensual,0,Cheque por correo,74.4,1972.35,2.48,21-30,2008.8000000000002
0188-GWFLE,0,Masculino,0,0,0,2,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque por correo,20.05,33.7,0.6683333333333333,0-10,40.1
0191-EQUUH,0,Femenino,0,0,1,25,0,0,DSL,1,0,0,1,0,0,Dos años,0,Transferencia bancaria (automatica),35.05,844.45,1.1683333333333332,21-30,876.2499999999999
0191-ZHSKZ,0,Masculino,1,0,0,30,1,0,DSL,1,1,0,0,1,1,Mensual,1,Cheque electronico,74.75,2111.3,2.4916666666666667,31-40,2242.5
0193-ESZXP,1,Femenino,1,1,0,58,1,0,Fibra optica,1,1,0,1,1,1,Anual,1,Tarjeta de credito (automatica),105.5,6205.5,3.5166666666666666,51-60,6119.0
0195-IESCP,1,Masculino,0,1,0,10,1,1,Fibra optica,0,0,0,0,0,1,Mensual,1,Cheque electronico,85.25,855.3,2.841666666666667,11-20,852.5
0196-JTUQI,0,Femenino,0,0,0,9,1,1,Fibra optica,0,0,0,0,0,0,Mensual,1,Tarjeta de credito (automatica),75.2,633.85,2.506666666666667,0-10,676.8000000000001
0196-VULGZ,1,Femenino,1,1,0,6,1,1,Fibra optica,0,0,0,0,0,1,Mensual,1,Cheque electronico,84.35,474.9,2.8116666666666665,0-10,506.09999999999997
0197-PNKNK,0,Femenino,0,1,1,69,1,1,Fibra optica,1,0,1,0,0,0,Anual,0,Transferencia bancaria (automatica),84.45,5848.6,2.815,61-70,5827.05
0201-MIBOL,0,Femenino,1,0,0,66,1,1,Fibra optica,1,0,0,0,1,1,Dos años,1,Transferencia bancaria (automatica),102.4,6471.85,3.4133333333333336,61-70,6758.400000000001
0201-OAMXR,1,Femenino,0,0,0,70,1,1,Fibra optica,1,1,1,1,1,1,Anual,0,Tarjeta de credito (automatica),115.55,8127.6,3.8516666666666666,71-80,8088.5
0203-HHYIJ,1,Masculino,0,0,0,25,1,1,No,0,0,0,0,0,0,Anual,0,Transferencia bancaria (automatica),25.3,676.35,0.8433333333333334,21-30,632.5
0206-OYVOC,0,Femenino,0,1,1,46,1,0,No,0,0,0,0,0,0,Dos años,1,Cheque por correo,19.25,864.2,0.6416666666666667,41-50,885.5
0206-TBWLC,0,Femenino,0,1,0,54,1,1,Fibra optica,1,1,1,1,1,1,Anual,1,Cheque por correo,114.65,6049.5,3.8216666666666668,51-60,6191.1
0207-MDKNV,1,Femenino,0,0,0,15,1,0,Fibra optica,1,0,1,1,1,1,Mensual,0,Cheque electronico,105.1,1582.75,3.503333333333333,11-20,1576.5
0208-BPQEJ,0,Femenino,0,1,1,12,1,0,No,0,0,0,0,0,0,Mensual,0,Transferencia bancaria (automatica),19.4,198.1,0.6466666666666666,11-20,232.79999999999998
0212-ISBBF,0,Femenino,0,0,0,22,0,0,DSL,0,1,0,0,1,1,Mensual,1,Cheque electronico,50.35,1098.85,1.6783333333333335,21-30,1107.7
0214-JHPFW,0,Femenino,0,1,0,70,0,0,DSL,0,1,1,1,1,1,Dos años,0,Transferencia bancaria (automatica),57.8,4039.3,1.9266666666666665,71-80,4046.0
0215-BQKGS,0,Masculino,0,0,0,30,1,0,Fibra optica,1,1,1,0,0,0,Mensual,1,Tarjeta de credito (automatica),84.3,2438.6,2.81,31-40,2529.0
0218-QNVAS,0,Masculino,0,1,1,71,1,1,Fibra optica,0,1,0,0,1,1,Anual,0,Transferencia bancaria (automatica),100.55,7113.75,3.3516666666666666,71-80,7139.05
0219-QAERP,0,Masculino,0,1,0,30,1,0,No,0,0,0,0,0,0,Anual,0,Tarjeta de credito (automatica),19.8,576.65,0.66,31-40,594.0
0219-YTZUE,1,Masculino,0,1,1,4,1,1,Fibra optica,0,1,1,0,0,0,Mensual,1,Transferencia bancaria (automatica),84.8,371.9,2.8266666666666667,0-10,339.2
0220-EBGCE,1,Masculino,0,0,0,2,1,0,Fibra optica,0,0,1,0,0,1,Mensual,1,Cheque electronico,85.85,167.3,2.8616666666666664,0-10,171.7
0221-NAUXK,0,Masculino,0,0,1,10,1,0,No,0,0,0,0,0,0,Anual,1,Transferencia bancaria (automatica),19.95,219.5,0.6649999999999999,11-20,199.5
0221-WMXNQ,0,Masculino,1,0,0,4,1,0,Fibra optica,1,0,0,0,0,0,Mensual,0,Cheque electronico,75.35,273.4,2.5116666666666663,0-10,301.4
0222-CNVPT,0,Masculino,1,0,0,52,0,0,DSL,1,0,0,0,1,1,Mensual,1,Tarjeta de credito (automatica),48.8,2555.05,1.6266666666666665,51-60,2537.6
0224-HJAPT,1,Masculino,0,0,0,5,1,1,DSL,0,0,0,0,0,0,Mensual,0,Cheque electronico,47.15,223.15,1.5716666666666665,0-10,235.75
0224-NIJLP,0,Masculino,0,1,1,8,1,0,No,0,0,0,0,0,0,Dos años,0,Cheque por correo,20.15,165.5,0.6716666666666666,0-10,161.2
0224-RLWWD,0,Femenino,1,0,0,2,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque electronico,44.3,89.3,1.4766666666666666,0-10,88.6
0225-ZORZP,0,Masculino,0,0,0,3,1,0,Fibra optica,0,1,0,0,0,1,Mensual,0,Cheque electronico,84.3,235.05,2.81,0-10,252.89999999999998
0228-MAUWC,0,Masculino,0,0,0,19,1,1,DSL,0,0,1,1,0,0,Mensual,0,Cheque electronico,59.55,1144.6,1.9849999999999999,11-20,1131.45
0229-LFJAF,0,Masculino,0,0,0,72,1,1,DSL,1,1,1,1,0,0,Dos años,0,Transferencia bancaria (automatica),69.65,4908.25,2.3216666666666668,71-80,5014.8
0230-UBYPQ,0,Masculino,1,1,0,63,0,0,DSL,1,0,0,1,0,0,Anual,0,Transferencia bancaria (automatica),36.1,2298.9,1.2033333333333334,61-70,2274.3
0230-WEQUW,0,Masculino,0,1,0,66,0,0,DSL,1,1,1,1,1,0,Dos años,1,Transferencia bancaria (automatica),56.6,3789.2,1.8866666666666667,61-70,3735.6
0231-LXVAP,1,Masculino,0,0,0,1,1,0,Fibra optica,0,0,0,1,0,0,Mensual,1,Cheque electronico,75.9,75.9,2.5300000000000002,0-10,75.9
0233-FTHAV,0,Femenino,0,0,0,60,1,1,Fibra optica,0,0,1,0,0,0,Anual,1,Transferencia bancaria (automatica),79.2,4765.0,2.64,61-70,4752.0
0234-TEVTT,0,Femenino,0,1,1,48,0,0,DSL,1,0,1,0,0,1,Anual,0,Tarjeta de credito (automatica),45.0,2196.3,1.5,41-50,2160.0
0235-KGSLC,1,Femenino,0,0,0,1,1,0,Fibra optica,0,0,1,0,1,0,Mensual,1,Tarjeta de credito (automatica),85.55,85.55,2.8516666666666666,0-10,85.55
0236-HFWSV,1,Masculino,0,0,0,15,1,1,Fibra optica,0,0,0,0,1,1,Mensual,1,Cheque electronico,93.35,1444.65,3.1116666666666664,11-20,1400.25
0237-YFUTL,0,Femenino,0,1,0,50,1,1,Fibra optica,1,1,0,1,1,1,Mensual,1,Transferencia bancaria (automatica),109.65,5405.8,3.6550000000000002,51-60,5482.5
0238-WHBIQ,0,Masculino,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Dos años,0,Tarjeta de credito (automatica),89.7,6339.3,2.99,71-80,6458.400000000001
0239-OXEXL,0,Femenino,0,0,0,46,1,1,Fibra optica,1,1,0,0,0,0,Mensual,0,Cheque por correo,84.25,3847.6,2.808333333333333,41-50,3875.5
0244-LGNFY,0,Femenino,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Dos años,0,Transferencia bancaria (automatica),92.65,6733.0,3.0883333333333334,71-80,6670.8
0247-SLUJI,0,Masculino,0,1,1,1,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque por correo,19.7,19.7,0.6566666666666666,0-10,19.7
0248-IPDFW,0,Femenino,0,0,0,1,1,1,DSL,0,0,0,0,0,0,Mensual,1,Cheque electronico,50.1,50.1,1.6700000000000002,0-10,50.1
0248-PGHBZ,0,Femenino,1,0,0,67,1,0,Fibra optica,1,1,0,1,1,0,Dos años,1,Transferencia bancaria (automatica),92.45,6140.85,3.0816666666666666,61-70,6194.150000000001
